,Date,Time,Title,Description,Category,Priority,Status,Location,Department,Class,Year,Month,Day/Night,Quarter,Week,Response Time(min),Resolution Time(min),Duration(min),Priority_,Status_,Department_,Location_,Class_
208,2023-08-02,15:41:57,Network DNS Configuration Issue,The DNS configuration needs to be updated to resolve domain name resolution problems.,5,Medium,Resolved,Data Center,IT,Network,2023,August,day,Third,31,20,40,60,2,3,2,3,3
209,2021-02-10,05:15:34,UI Rendering Problem,The user interface of an application displays elements incorrectly or incompletely.,0,Medium,Resolved,Office,IT,Application,2021,February,night,First,6,5,10,15,2,3,2,1,0
210,2023-10-30,11:50:00,Server Hardware Failure,A critical hardware component on the server has failed.,9,Critical,Open,Data Center,Infrastructure,Hardware,2023,October,day,Fourth,44,0,0,0,4,1,3,3,4
211,2022-11-25,06:09:34,Network Spanning Tree Protocol Error,There is an error in the Spanning Tree Protocol configuration causing network loops and instability.,14,Medium,Resolved,Office,IT,Configuration,2022,November,day,Fourth,47,30,60,90,2,3,2,1,7
212,2023-03-02,02:10:26,Application Hang,An application hangs and stops responding requiring termination and restart.,0,High,Resolved,Office,IT,Application,2023,March,night,First,9,15,30,45,3,3,2,1,0
213,2021-12-24,10:41:46,Unauthorized Access Attempt,An unauthorized user attempts to gain access to the system.,12,High,Resolved,Data Center,IT,Security,2021,December,day,Fourth,51,10,20,30,3,3,2,3,5
214,2022-12-31,22:07:41,Server Room Environmental Monitoring System Failure,The environmental monitoring system in the server room fails hindering environmental oversight.,8,Medium,Resolved,Server Room,Infrastructure,Infrastructure,2022,December,night,Fourth,52,10,20,30,2,3,3,2,2
215,2021-09-27,22:20:21,Application Integration Failure,The application fails to integrate with a third-party system resulting in data synchronization issues and functionality gaps.,21,High,Resolved,Server Room,Applications,Application,2021,September,night,Third,39,30,60,90,3,3,1,2,0
216,2022-07-10,05:23:10,Application UI Glitch,The application's user interface has a glitch that affects the user experience.,22,Medium,Resolved,Office,Applications,Application,2022,July,night,Third,27,5,10,15,2,3,1,1,0
217,2021-02-16,03:50:56,File Server Permissions Issue,Users are unable to access or modify files on the file server due to incorrect permissions.,1,Medium,Resolved,Server Room,IT,Application,2021,February,night,First,7,45,75,120,2,3,2,2,0
218,2022-11-27,06:10:36,Database Data Corruption,There is data corruption in the database requiring data recovery and restoration.,13,High,Resolved,Server Room,IT,Data,2022,November,day,Fourth,47,15,30,45,3,3,2,2,6
219,2023-11-21,09:00:00,Application Bug,Users are experiencing unexpected errors in the application.,0,Medium,Open,Office,Applications,Application,2023,November,day,Fourth,47,0,0,0,2,1,1,1,0
220,2023-02-18,21:15:59,Database Connectivity Issue,The application is unable to establish a connection with the database server.,13,High,Resolved,Server Room,IT,Data,2023,February,night,First,7,20,40,60,3,3,2,2,6
221,2023-09-26,14:45:00,Application Not Responding,The application is unresponsive and not accepting user input.,0,High,Open,Office,Applications,Application,2023,September,day,Third,39,0,0,0,3,1,1,1,0
222,2022-09-10,05:54:30,Data Export Failure,An application fails to export data properly resulting in incomplete or incorrect exports.,0,Medium,Resolved,Office,IT,Application,2022,September,night,Third,36,20,40,60,2,3,2,1,0
223,2022-09-08,17:07:49,Server Room Power Surge,There is a power surge in the server room potentially damaging equipment and causing service interruption.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2022,September,day,Third,36,5,10,15,4,3,3,2,2
224,2021-08-18,19:44:41,Security Policy Misconfiguration,A security policy is misconfigured potentially allowing unauthorized access or compromising data security.,17,High,Resolved,Office,IT,Configuration,2021,August,night,Third,33,10,20,30,3,3,2,1,7
225,2023-07-06,09:30:00,Server Hardware Failure,A server hardware component has malfunctioned.,9,Critical,Open,Data Center,IT,Hardware,2023,July,day,Third,27,30,480,240,4,1,2,3,4
226,2022-12-21,02:33:57,Network DNS Issue,A DNS (Domain Name System) issue occurs causing domain resolution problems and affecting network services.,3,High,Resolved,Data Center,IT,Infrastructure,2022,December,night,Fourth,51,10,20,30,3,3,2,3,2
227,2022-06-12,01:28:07,Network Routing Protocol Misconfiguration,There is a misconfiguration in the network routing protocol settings causing routing issues.,14,Medium,Resolved,Office,IT,Configuration,2022,June,night,Second,23,5,10,15,2,3,2,1,7
228,2022-11-28,07:17:51,Database Transaction Locking Issue,There is a transaction locking issue in the database causing conflicts and delays in data processing.,2,Medium,Resolved,Data Center,IT,Performance,2022,November,day,Fourth,48,5,10,15,2,3,2,3,1
229,2023-01-25,05:58:47,Storage Failure,A storage device or system experiences a failure causing data unavailability.,3,Critical,Resolved,Data Center,IT,Infrastructure,2023,January,night,First,4,30,60,90,4,3,2,3,2
230,2021-11-07,03:32:51,Server Room Intrusion Detected,An intrusion is detected in the server room triggering security alarms and requiring investigation.,10,High,Resolved,Server Room,Infrastructure,Security,2021,November,night,Fourth,44,30,60,90,3,3,3,2,5
231,2023-09-01,11:11:39,Network VLAN Configuration Error,There is an error in the VLAN configuration resulting in connectivity issues between network segments.,14,Medium,Resolved,Office,IT,Configuration,2023,September,day,Third,35,20,40,60,2,3,2,1,7
232,2021-04-18,12:23:51,Data Privacy Breach,A breach of data privacy occurs compromising the confidentiality or privacy of sensitive information.,11,Critical,Resolved,Office,IT,Data,2021,April,day,Second,15,30,60,90,4,3,2,1,6
233,2020-02-12,05:40:08,Brute-Force Attack,The system experiences multiple failed login attempts due to a brute-force attack.,12,High,Resolved,Data Center,IT,Security,2020,February,night,First,7,30,60,90,3,3,2,3,5
234,2021-08-02,10:02:00,Database Performance Degradation,The database is experiencing slow response times and queries taking longer to execute.,2,Medium,Resolved,Data Center,Applications,Performance,2021,August,day,Third,31,20,40,60,2,3,1,3,1
235,2021-10-22,20:54:20,Application Configuration Backup,A backup of application configuration settings to facilitate restoration in case of misconfiguration or data loss.,17,Medium,Resolved,Office,IT,Configuration,2021,October,night,Fourth,42,30,60,90,2,3,2,1,7
236,2023-07-25,08:50:00,Server Overload,The server is under heavy load and experiencing performance issues.,4,High,Open,Data Center,Infrastructure,Performance,2023,July,day,Third,30,0,0,0,3,1,3,3,1
237,2023-04-01,09:06:40,Backup Power Generator Failure,A backup power generator fails to start during a power outage affecting the availability of critical infrastructure components.,3,Critical,Resolved,Data Center,IT,Infrastructure,2023,April,day,Second,13,30,60,90,4,3,2,3,2
238,2021-12-17,15:09:22,Email Outage,The email server is experiencing an outage resulting in no incoming or outgoing emails.,1,Critical,Resolved,Server Room,IT,Application,2021,December,day,Fourth,50,45,75,120,4,3,2,2,0
239,2021-08-09,03:35:34,Network Switch Port Failure,A network switch port fails resulting in connectivity issues for devices connected to that port.,8,Medium,Resolved,Office,IT,Infrastructure,2021,August,night,Third,32,30,60,90,2,3,2,1,2
240,2021-07-12,10:08:49,Network DHCP Server Failure,The DHCP server fails causing issues with IP address assignment and network connectivity.,5,Critical,Resolved,Data Center,IT,Network,2021,July,day,Third,28,30,60,90,4,3,2,3,3
241,2021-10-09,03:51:24,Application Service Restart Failure,The application service fails to restart properly causing extended downtime.,1,Medium,Resolved,Server Room,Applications,Application,2021,October,night,Fourth,40,20,40,60,2,3,1,2,0
242,2022-09-23,08:03:32,Database Indexing Error,The database indexes need to be rebuilt to optimize query performance.,2,Medium,Resolved,Data Center,IT,Performance,2022,September,day,Third,38,5,10,15,2,3,2,3,1
243,2022-01-29,18:51:32,Email Server SMTP Relay Failure,The SMTP relay in the email server fails causing issues with email delivery.,8,Medium,Resolved,Data Center,IT,Infrastructure,2022,January,day,First,4,15,30,45,2,3,2,3,2
244,2023-04-11,12:55:00,Application Crashed,The application has crashed unexpectedly.,0,Critical,Open,Office,Applications,Application,2023,April,day,Second,15,0,0,0,4,1,1,1,0
245,2021-04-02,19:14:55,Fire Suppression System Triggered,The fire suppression system in the data center is triggered potentially causing water damage.,3,Critical,Resolved,Data Center,IT,Infrastructure,2021,April,night,Second,13,15,30,45,4,3,2,3,2
246,2023-10-11,10:25:00,Server Disk Failure,One of the server disks has failed.,9,High,Open,Data Center,Infrastructure,Hardware,2023,October,day,Fourth,41,0,0,0,3,1,3,3,4
247,2021-06-15,22:10:21,Network Firewall Configuration Change Request,A request is made to modify the network firewall configuration for new access requirements.,14,Medium,Resolved,Data Center,IT,Configuration,2021,June,night,Second,24,30,60,90,2,3,2,3,7
248,2022-08-21,10:28:38,Network Switch Misconfiguration,A network switch is misconfigured resulting in connectivity issues and VLAN conflicts.,3,High,Resolved,Data Center,IT,Infrastructure,2022,August,day,Third,33,30,60,90,3,3,2,3,2
249,2021-12-26,20:06:17,Memory Leak,An application exhibits a memory leak gradually consuming excessive memory and affecting system performance.,4,High,Resolved,Data Center,IT,Performance,2021,December,night,Fourth,51,15,30,45,3,3,2,3,1
250,2021-07-27,00:33:37,Printer Supply Replacement,The printer requires a replacement of ink or toner cartridges.,19,Low,Resolved,Office,IT,Hardware,2021,July,night,Third,30,20,40,60,1,3,2,1,4
251,2021-09-21,15:47:05,Server Room Cooling System Failure,The cooling system in the server room fails leading to increased temperature and potential equipment damage.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2021,September,day,Third,38,30,60,90,3,3,3,2,2
252,2022-10-11,15:51:31,Server Room Environmental Monitoring Failure,The environmental monitoring system in the server room fails risking potential equipment damage.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2022,October,day,Fourth,41,15,30,45,3,3,3,2,2
253,2023-10-20,15:40:00,Storage Disk Failure,One of the storage disks has failed.,9,Medium,In Progress,Data Center,Infrastructure,Hardware,2023,October,day,Fourth,42,10,50,60,2,2,3,3,4
254,2021-04-11,08:39:15,Database Server Crash,The database server crashes causing downtime for the application.,19,High,Resolved,Data Center,IT,Hardware,2021,April,day,Second,14,45,75,120,3,3,2,3,4
255,2023-11-14,10:05:00,Data Backup Error,An error occurred during the data backup process.,11,High,Open,Office,IT,Data,2023,November,day,Fourth,46,0,0,0,3,1,2,1,6
256,2023-03-09,08:55:00,Server Fan Failure,A fan failure has been detected on the server.,9,High,Resolved,Data Center,Infrastructure,Hardware,2023,March,day,First,10,5,25,30,3,3,3,3,4
257,2023-11-07,09:50:00,Application Functionality Issue,The application is not functioning as expected.,0,Medium,Open,Office,Applications,Application,2023,November,day,Fourth,45,0,0,0,2,1,1,1,0
258,2022-02-24,19:45:44,Server Overload,The server is overloaded with high CPU and memory utilization.,2,High,Resolved,Data Center,IT,Performance,2022,February,night,First,8,45,75,120,3,3,2,3,1
259,2023-11-11,13:50:00,Application Bug,Users are experiencing unexpected errors in the application.,0,Medium,Resolved,Office,Applications,Application,2023,November,day,Fourth,45,5,25,30,2,3,1,1,0
260,2022-02-14,17:12:18,Data Recovery Problem,Difficulties are encountered in recovering data from backups or storage systems.,11,High,Resolved,Data Center,IT,Data,2022,February,day,First,7,30,60,90,3,3,2,3,6
261,2021-07-24,00:26:02,Network Packet Loss,Network packets are being lost impacting data transmission and causing retransmissions.,5,High,Resolved,Office,Infrastructure,Network,2021,July,night,Third,29,30,60,90,3,3,3,1,3
262,2023-10-24,13:20:00,Data Corruption,Data integrity issues detected in the database.,11,High,In Progress,Office,IT,Data,2023,October,day,Fourth,43,0,0,0,3,2,2,1,6
263,2022-05-22,09:49:14,Database Replication Lag,There is a lag in database replication causing data inconsistencies and delays in synchronization.,13,Medium,Resolved,Data Center,IT,Data,2022,May,day,Second,20,5,10,15,2,3,2,3,6
264,2021-04-28,13:37:24,Memory Leak,An application experiences a memory leak leading to increased memory usage and performance degradation.,0,High,Resolved,Office,IT,Application,2021,April,day,Second,17,5,10,15,3,3,2,1,0
265,2021-02-26,03:59:29,Network Access Control List Misconfiguration,There is a misconfiguration in the network access control lists (ACLs) causing access issues.,14,Medium,Resolved,Data Center,IT,Configuration,2021,February,night,First,8,15,30,45,2,3,2,3,7
266,2022-07-28,03:27:11,Power Outage,The entire office experiences a power outage impacting all systems.,8,Critical,Resolved,Office,Infrastructure,Infrastructure,2022,July,night,Third,30,15,105,120,4,3,3,1,2
267,2023-07-29,14:20:00,Application Not Responding,The application is unresponsive and not accepting user input.,0,High,Open,Office,Applications,Application,2023,July,day,Third,30,0,0,0,3,1,1,1,0
268,2023-07-10,13:15:00,Data Center Cooling Failure,The cooling system in the data center has failed.,3,Critical,Resolved,Data Center,Infrastructure,Infrastructure,2023,July,day,Third,28,15,105,120,4,3,3,3,2
269,2023-06-29,08:15:00,Printer Paper Feed Error,The printer is having trouble feeding paper.,9,Low,Open,Office,Infrastructure,Hardware,2023,June,day,Second,26,5,30,15,1,1,3,1,4
270,2023-04-12,10:25:00,Server Fan Failure,A fan failure has been detected on the server.,9,High,Resolved,Data Center,Infrastructure,Hardware,2023,April,day,Second,15,5,25,30,3,3,3,3,4
271,2020-06-12,09:41:06,Permission Denied,Users encounter permission errors when attempting to access certain application resources.,0,High,Resolved,Office,IT,Application,2020,June,day,Second,24,10,20,30,3,3,2,1,0
272,2022-02-08,14:37:59,Server Rack Space Insufficient,The server rack space is running out requiring additional racks or equipment consolidation.,8,High,Resolved,Data Center,Infrastructure,Infrastructure,2022,February,day,First,6,30,60,90,3,3,3,3,2
273,2022-07-25,15:50:25,Database Replication Configuration,A configuration issue with database replication settings causes data synchronization or availability problems.,17,High,Resolved,Data Center,IT,Configuration,2022,July,day,Third,30,5,10,15,3,3,2,3,7
274,2021-10-24,08:25:59,Application Service Degradation,The application service experiences performance degradation affecting response times and functionality.,2,Medium,Resolved,Server Room,Applications,Performance,2021,October,day,Fourth,42,10,20,30,2,3,1,2,1
275,2021-03-05,22:05:30,Database Replication Failure,The database replication process fails resulting in data inconsistencies between replicas.,13,High,Resolved,Data Center,IT,Data,2021,March,night,First,9,15,30,45,3,3,2,3,6
276,2022-05-25,20:56:03,Network Firewall Rule Conflict,There is a conflict in the network firewall rules causing access issues or traffic blocking.,14,Medium,Resolved,Office,IT,Configuration,2022,May,night,Second,21,30,60,90,2,3,2,1,7
277,2022-02-14,09:52:31,Security Patching Failure,A failure occurs during the application of security patches leaving vulnerabilities unpatched.,12,Medium,Resolved,Data Center,IT,Security,2022,February,day,First,7,5,10,15,2,3,2,3,5
278,2021-05-11,08:24:28,Network SNMP Monitoring,Implementing SNMP monitoring to track network device status performance and resource utilization.,6,Medium,Resolved,Office,IT,Network,2021,May,day,Second,19,30,60,90,2,3,2,1,3
279,2022-03-01,23:08:19,Printer Hardware Failure,One of the printer hardware components has failed preventing printing operations.,19,High,Resolved,Office,IT,Hardware,2022,March,night,First,9,20,40,60,3,3,2,1,4
280,2022-07-10,07:39:53,Data Corruption,Data corruption is detected in the application resulting in incorrect outputs and data inconsistencies.,0,Critical,Resolved,Data Center,IT,Application,2022,July,day,Third,27,5,10,15,4,3,2,3,0
281,2023-02-07,14:05:00,Database Backup Failure,The scheduled database backup has failed.,11,Medium,In Progress,Office,IT,Data,2023,February,day,First,6,0,0,0,2,2,2,1,6
282,2020-12-20,01:05:39,Server Room Fire Alarm,The fire alarm in the server room is triggered requiring evacuation and system shutdown.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2020,December,night,Fourth,51,30,60,90,4,3,3,2,2
283,2021-04-04,14:58:13,Application Login Failure,Users are unable to log in to the application encountering authentication errors.,1,High,Resolved,Office,Applications,Application,2021,April,day,Second,13,15,30,45,3,3,1,1,0
284,2021-06-05,17:33:26,Application Data Corruption,The application data becomes corrupted resulting in unexpected errors and behavior.,13,Critical,Resolved,Office,Applications,Data,2021,June,day,Second,22,5,10,15,4,3,1,1,6
285,2023-03-01,14:04:26,Database Query Optimization,Database queries are running slow and need optimization for better performance.,2,High,Resolved,Office,IT,Performance,2023,March,day,First,9,10,20,30,3,3,2,1,1
286,2023-05-12,13:50:00,Application Crashed,The application has crashed unexpectedly.,0,Critical,Open,Office,Applications,Application,2023,May,day,Second,19,0,0,0,4,1,1,1,0
287,2021-10-23,18:34:23,Email Spam Filter Misconfiguration,The email spam filter is misconfigured causing legitimate emails to be marked as spam.,14,Medium,Resolved,Office,IT,Configuration,2021,October,day,Fourth,42,20,40,60,2,3,2,1,7
288,2022-03-27,04:10:27,Software Performance Degradation,The software application experiences a gradual performance degradation over time.,2,High,Resolved,Office,Applications,Performance,2022,March,night,First,12,5,10,15,3,3,1,1,1
289,2023-07-27,09:30:00,Unauthorized Access,An unauthorized user gained access to sensitive data.,12,Critical,Resolved,Data Center,Security,Security,2023,July,day,Third,30,0,0,0,4,3,4,3,5
290,2023-03-12,14:00:00,Network Firewall Block,The firewall is blocking legitimate network traffic.,12,Medium,Open,Server Room,Security,Security,2023,March,day,First,10,0,0,0,2,1,4,2,5
291,2021-11-09,03:27:07,Email Spam Flood,The email server is flooded with spam messages causing delays in email delivery.,16,Medium,Resolved,Server Room,IT,Security,2021,November,night,Fourth,45,30,60,90,2,3,2,2,5
292,2022-08-30,16:39:08,Application Data Validation Error,There is an error in data validation within the application leading to incorrect data entry and processing.,13,Medium,Resolved,Server Room,Applications,Application,2022,August,day,Third,35,30,60,90,2,3,1,2,0
293,2023-07-21,08:40:00,Network Outage,Complete loss of network connectivity.,6,Critical,Resolved,Server Room,Infrastructure,Network,2023,July,day,Third,29,30,150,180,4,3,3,2,3
294,2022-03-25,15:57:54,Database Replication Failure,Database replication fails leading to data inconsistency between replicas.,13,High,Resolved,Data Center,IT,Data,2022,March,day,First,12,10,20,30,3,3,2,3,6
295,2022-12-10,03:03:11,Data Migration Failure,A failure occurs during the migration of data from one system or storage medium to another.,11,High,Resolved,Data Center,IT,Data,2022,December,night,Fourth,49,5,10,15,3,3,2,3,6
296,2023-04-09,12:20:00,Application Crashed,The application has crashed unexpectedly.,0,Critical,Open,Office,Applications,Application,2023,April,day,Second,14,0,0,0,4,1,1,1,0
297,2023-10-13,13:45:00,Server Power Supply Failure,A power supply unit on the server has failed.,9,High,Resolved,Data Center,Infrastructure,Hardware,2023,October,day,Fourth,41,10,50,60,3,3,3,3,4
298,2023-12-02,01:33:45,Application Integration Timeout,The application experiences timeout issues when integrating with external systems or APIs.,21,Medium,Resolved,Server Room,Applications,Application,2023,December,night,Fourth,48,10,20,30,2,3,1,2,0
299,2022-05-04,12:23:42,Application Feature Malfunction,One of the application features is not functioning as expected impacting user experience.,1,Medium,Resolved,Server Room,Applications,Application,2022,May,day,Second,18,30,60,90,2,3,1,2,0
300,2023-10-02,12:42:56,Database Vulnerability Exploited,A vulnerability in the database is exploited potentially leading to unauthorized access or data leakage.,12,Critical,Resolved,Data Center,IT,Security,2023,October,day,Fourth,40,20,40,60,4,3,2,3,5
301,2022-09-15,00:03:31,Network VPN Tunnel Instability,The VPN tunnel experiences instability causing intermittent connectivity issues for remote users.,5,Medium,Resolved,Office,IT,Network,2022,September,night,Third,37,15,30,45,2,3,2,1,3
302,2023-06-09,10:05:00,Database Performance Degradation,Slow response time from the database server.,4,Medium,In Progress,Office,Applications,Performance,2023,June,day,Second,23,0,0,0,2,2,1,1,1
303,2023-06-24,12:45:00,Monitor Flickering,The monitor is flickering and causing visual disturbances.,9,Medium,Open,Office,IT,Hardware,2023,June,day,Second,25,5,60,30,2,1,2,1,4
304,2022-01-27,11:47:20,Application Performance Degradation,An application experiences a gradual degradation in performance impacting user experience and productivity.,4,High,Resolved,Office,IT,Performance,2022,January,day,First,4,10,20,30,3,3,2,1,1
305,2023-03-23,04:07:15,Data Inaccuracy,Data inaccuracies or discrepancies are detected impacting the reliability or usability of the data.,11,High,Resolved,Office,IT,Data,2023,March,night,First,12,5,10,15,3,3,2,1,6
306,2021-03-13,07:46:15,Database Backup Corruption,The backup file for the database becomes corrupted rendering it unusable for recovery purposes.,13,High,Resolved,Data Center,IT,Data,2021,March,day,First,10,5,10,15,3,3,2,3,6
307,2021-11-14,22:22:06,Email Account Compromise,An employee's email account is compromised leading to unauthorized access and potential data breach.,10,Critical,Resolved,Server Room,IT,Security,2021,November,night,Fourth,45,15,30,45,4,3,2,2,5
308,2023-12-11,10:15:00,Network Performance Degradation,Slow network performance affecting user experience.,4,Medium,In Progress,Server Room,Infrastructure,Performance,2023,December,day,Fourth,50,0,0,0,2,2,3,2,1
309,2021-04-02,01:34:52,Database Data Backup Delay,There is a delay in the database backup process potentially increasing the risk of data loss in case of a disaster.,13,High,Resolved,Data Center,IT,Data,2021,April,night,Second,13,15,30,45,3,3,2,3,6
310,2021-05-27,23:54:22,Database Query Timeout,Database queries are timing out causing delays in data retrieval and processing.,2,Medium,Resolved,Data Center,IT,Performance,2021,May,night,Second,21,30,60,90,2,3,2,3,1
311,2022-06-19,13:47:53,Server Room Water Leakage Detected,Water leakage is detected in the server room posing a risk to equipment and requiring immediate action.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2022,June,day,Second,24,15,30,45,3,3,3,2,2
312,2021-10-12,19:58:05,Unauthorized Software Installation,An unauthorized software installation is detected on a workstation.,12,High,Resolved,Office,IT,Security,2021,October,night,Fourth,41,10,20,30,3,3,2,1,5
313,2022-08-20,09:08:59,Application Data Loss,The application experiences data loss leading to missing or corrupted information.,13,High,Resolved,Server Room,Applications,Data,2022,August,day,Third,33,15,30,45,3,3,1,2,6
314,2023-08-14,08:55:00,Server Power Supply Failure,A power supply unit on the server has failed.,9,High,Resolved,Data Center,Infrastructure,Hardware,2023,August,day,Third,33,10,50,60,3,3,3,3,4
315,2021-01-12,08:30:03,Data Governance Issue,Issues arise with data governance practices affecting data quality or integrity or compliance.,11,Medium,Resolved,Office,IT,Data,2021,January,day,First,2,30,60,90,2,3,2,1,6
316,2022-02-28,07:07:00,Data Loss Incident,An incident involving data loss is reported potentially leading to data unrecoverability.,12,High,Resolved,Data Center,IT,Security,2022,February,day,First,9,15,30,45,3,3,2,3,5
317,2022-05-27,06:45:20,Data Breach Incident,An incident involving a data breach is reported potentially exposing sensitive information.,12,Critical,Resolved,Data Center,IT,Security,2022,May,day,Second,21,10,20,30,4,3,2,3,5
318,2023-01-19,14:11:59,Server Room Fire Alarm,The fire alarm in the server room is triggered requiring evacuation and emergency measures.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2023,January,day,First,3,30,60,90,4,3,3,2,2
319,2021-03-16,03:04:53,Network Wireless Signal Interference,There is interference with the wireless signals causing poor connectivity and signal quality for wireless devices.,8,Medium,Resolved,Office,IT,Infrastructure,2021,March,night,First,11,20,40,60,2,3,2,1,2
320,2023-11-28,12:55:00,Network Configuration Error,Incorrect network configuration causing connectivity issues.,6,Medium,Resolved,Server Room,Infrastructure,Network,2023,November,day,Fourth,48,5,15,20,2,3,3,2,3
321,2021-07-31,05:14:56,Network Device Firmware Upgrade,There is a firmware upgrade scheduled for network devices requiring planned downtime.,7,Low,Resolved,Office,IT,Network,2021,July,night,Third,30,20,40,60,1,3,2,1,3
322,2023-01-07,15:00:00,Server RAID Array Degraded,The server RAID array is in a degraded state.,9,High,Open,Data Center,IT,Hardware,2023,January,day,First,1,30,360,180,3,1,2,3,4
323,2021-06-19,21:36:05,Application Data Access Breach,There is a breach in data access controls within the application resulting in unauthorized data access.,16,Critical,Resolved,Server Room,Applications,Application,2021,June,night,Second,24,15,30,45,4,3,1,2,0
324,2020-12-26,08:49:41,Network Intrusion Detected,A suspicious network intrusion is detected indicating potential unauthorized access.,12,High,Resolved,Data Center,IT,Security,2020,December,day,Fourth,52,30,60,90,3,3,2,3,5
325,2023-06-21,14:50:00,Data Center Power Outage,A power outage has occurred in the data center.,3,Critical,Resolved,Data Center,Infrastructure,Infrastructure,2023,June,day,Second,25,15,105,120,4,3,3,3,2
326,2021-07-24,10:37:25,Network Traffic Analysis,Analyzing network traffic patterns and identifying anomalies or performance bottlenecks.,6,Medium,Resolved,Office,IT,Network,2021,July,day,Third,29,10,20,30,2,3,2,1,3
327,2021-01-23,05:48:34,Hardware Failure,A critical hardware component fails affecting the overall infrastructure and services.,3,Critical,Resolved,Data Center,IT,Infrastructure,2021,January,night,First,3,15,30,45,4,3,2,3,2
328,2021-09-21,00:43:22,Email Server Configuration Change Request,A request is made to change the email server configuration for new email delivery requirements.,14,Medium,Resolved,Data Center,IT,Configuration,2021,September,night,Third,38,15,30,45,2,3,2,3,7
329,2021-05-07,07:28:23,Application Data Loss,Data loss is experienced in the application resulting in missing or corrupted data.,13,High,Resolved,Server Room,Applications,Data,2021,May,day,Second,18,5,10,15,3,3,1,2,6
330,2022-08-27,02:58:52,Data Duplication,Data duplication or redundancy issues are identified leading to data inconsistencies or increased storage requirements.,11,Medium,Resolved,Office,IT,Data,2022,August,night,Third,34,10,20,30,2,3,2,1,6
331,2021-11-18,20:52:59,Network VLAN Trunking Issue,There is an issue with VLAN trunking causing VLANs to be improperly configured or not communicated.,5,Medium,Resolved,Data Center,IT,Network,2021,November,night,Fourth,46,10,20,30,2,3,2,3,3
332,2022-11-17,14:13:59,Server Room Power Surge,A power surge in the server room damages equipment and causes temporary outages.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2022,November,day,Fourth,46,10,20,30,4,3,3,2,2
333,2023-03-25,01:17:07,Server Room Fire Alarm Triggered,The fire alarm in the server room is triggered requiring investigation and verification of the cause.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2023,March,night,First,12,30,60,90,3,3,3,2,2
334,2022-01-23,10:24:08,Application Software Bug,The application encounters a software bug leading to unexpected behavior and functionality issues.,1,Medium,Resolved,Server Room,Applications,Application,2022,January,day,First,3,5,10,15,2,3,1,2,0
335,2023-09-29,10:00:00,Server Hardware Failure,A critical hardware component on the server has failed.,9,Critical,Open,Data Center,Infrastructure,Hardware,2023,September,day,Third,39,0,0,0,4,1,3,3,4
336,2023-08-26,11:55:00,Printer Paper Jam,The printer is jammed with paper.,9,Low,Resolved,Office,Infrastructure,Hardware,2023,August,day,Third,34,5,5,10,1,3,3,1,4
337,2021-02-06,10:52:09,Application Database Connection Error,The application encounters errors when connecting to the database causing disruption in application functionality.,1,Medium,Resolved,Server Room,Applications,Application,2021,February,day,First,5,15,30,45,2,3,1,2,0
338,2022-10-19,01:21:39,Application Performance Degradation,The application experiences a gradual performance degradation over time.,2,High,Resolved,Office,Applications,Performance,2022,October,night,Fourth,42,10,20,30,3,3,1,1,1
339,2021-03-29,08:37:11,Application Login Session Timeout,Users' login sessions are timing out too quickly requiring longer session durations.,14,Low,Resolved,Server Room,Applications,Configuration,2021,March,day,First,13,20,40,60,1,3,1,2,7
340,2021-07-22,22:11:13,Application Memory Leak,The application experiences a memory leak leading to increased memory usage and potential system instability.,2,High,Resolved,Server Room,Applications,Application,2021,July,night,Third,29,15,30,45,3,3,1,2,0
341,2023-06-08,15:45:00,Network VLAN Configuration Issue,Incorrect VLAN configuration leading to network connectivity problems.,6,High,Resolved,Server Room,Infrastructure,Network,2023,June,day,Second,23,10,50,60,3,3,3,2,3
342,2021-01-13,11:21:57,Network Firewall Configuration Error,There is an error in the firewall configuration causing unintended network restrictions or vulnerabilities.,14,Medium,Resolved,Office,IT,Configuration,2021,January,day,First,2,5,10,15,2,3,2,1,7
343,2022-06-10,11:42:47,Network Firewall Misconfiguration,The network firewall rules are misconfigured causing unintended access restrictions.,5,Medium,Resolved,Data Center,IT,Network,2022,June,day,Second,23,10,35,45,2,3,2,3,3
344,2022-12-13,03:53:05,Network Load Balancer Failure,A network load balancer fails resulting in uneven distribution of traffic and service disruptions.,3,Medium,Resolved,Data Center,IT,Infrastructure,2022,December,night,Fourth,50,20,40,60,2,3,2,3,2
345,2021-05-30,02:59:31,Application Performance Degradation,The application experiences performance degradation resulting in slow response times and poor user experience.,2,Medium,Resolved,Data Center,IT,Application,2021,May,night,Second,21,10,20,30,2,3,2,3,0
346,2021-05-22,18:34:31,Application Unavailability,The application becomes unavailable preventing users from accessing its services.,0,Critical,Resolved,Data Center,IT,Application,2021,May,day,Second,20,30,60,90,4,3,2,3,0
